model_alias,layer_source_method,layer_selection,component,mean_at_minus3,mean_at_zero,mean_at_plus3,plus3_minus_zero,zero_minus_minus3,n_rows
llama-3.2-3b,lr,top-k,resid,-0.8392857142857143,-0.8392857142857143,-0.6309523809523809,0.20833333333333337,0.0,147
phi-3-mini-4k-instruct,attn,best,attn,-1.8571428571428572,-1.75,-1.7142857142857142,0.03571428571428581,0.1071428571428572,49
phi-3-mini-4k-instruct,attn,best,mlp,-1.8571428571428572,-1.75,-1.6785714285714286,0.0714285714285714,0.1071428571428572,49
phi-3-mini-4k-instruct,attn,best,resid,-1.8214285714285714,-1.75,-1.7857142857142858,-0.03571428571428581,0.0714285714285714,49
phi-3-mini-4k-instruct,attn,top-k,resid,-1.75,-1.75,-1.7738095238095237,-0.023809523809523725,0.0,147
phi-3-mini-4k-instruct,dmm,best,attn,-1.8571428571428572,-1.75,-1.7142857142857142,0.03571428571428581,0.1071428571428572,49
phi-3-mini-4k-instruct,dmm,best,mlp,-1.8571428571428572,-1.75,-1.6785714285714286,0.0714285714285714,0.1071428571428572,49
phi-3-mini-4k-instruct,dmm,best,resid,-1.8214285714285714,-1.75,-1.7857142857142858,-0.03571428571428581,0.0714285714285714,49
phi-3-mini-4k-instruct,dmm,top-k,resid,-1.8214285714285714,-1.75,-1.7380952380952381,0.011904761904761862,0.0714285714285714,147
phi-3-mini-4k-instruct,lr,best,attn,-1.75,-1.75,-1.75,0.0,0.0,49
phi-3-mini-4k-instruct,lr,best,mlp,-1.75,-1.75,-1.7857142857142858,-0.03571428571428581,0.0,49
phi-3-mini-4k-instruct,lr,best,resid,-1.7857142857142858,-1.75,-1.75,0.0,0.03571428571428581,49
phi-3-mini-4k-instruct,lr,top-k,resid,-1.7857142857142858,-1.75,-1.75,0.0,0.03571428571428581,147
qwen3-4b,attn,best,attn,-6.607142857142857,-6.5,-6.428571428571429,0.07142857142857117,0.10714285714285676,49
qwen3-4b,attn,best,mlp,-6.669642857142857,-6.5,-6.4375,0.0625,0.16964285714285676,49
qwen3-4b,attn,best,resid,-6.616071428571429,-6.5,-6.392857142857143,0.10714285714285676,0.11607142857142883,49
qwen3-4b,attn,top-k,resid,-6.6398809523809526,-6.5,-6.398809523809524,0.10119047619047628,0.13988095238095255,147
qwen3-4b,dmm,best,attn,-6.589285714285714,-6.5,-6.4375,0.0625,0.08928571428571441,49
qwen3-4b,dmm,best,mlp,-6.580357142857143,-6.5,-6.401785714285714,0.09821428571428559,0.08035714285714324,49
qwen3-4b,dmm,best,resid,-6.544642857142857,-6.5,-6.419642857142857,0.08035714285714324,0.04464285714285676,49
qwen3-4b,dmm,top-k,resid,-6.580357142857143,-6.5,-6.476190476190476,0.023809523809523725,0.08035714285714324,147
qwen3-4b,lr,best,attn,-6.553571428571429,-6.5,-6.535714285714286,-0.03571428571428559,0.053571428571428825,49
qwen3-4b,lr,best,mlp,-6.616071428571429,-6.5,-6.526785714285714,-0.026785714285714413,0.11607142857142883,49
qwen3-4b,lr,best,resid,-6.696428571428571,-6.5,-6.491071428571429,0.008928571428571175,0.19642857142857117,49
qwen3-4b,lr,top-k,resid,-6.663690476190476,-6.553571428571429,-6.5148809523809526,0.038690476190476275,0.11011904761904745,147
