base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
2hop_percentage_0009,reprompt,2,wrong_percentage_base,False,False,0.9819155347173424,0.4936162615384347,True,1
2hop_percentage_0009,replace_prior,2,wrong_percentage_base,False,False,0.0490569100985849,0.027186949229056,False,1
2hop_percentage_0009,branch_and_pick,2,wrong_percentage_base,False,False,0.5763703330002298,0.2908436606798784,False,1
3hop_compound_rate_0012,baseline,3,wrong_unit,False,False,0.9999999114498558,0.8175289137006153,True,0
3hop_compound_rate_0012,reprompt,3,wrong_unit,False,False,0.9999999114498558,0.8175289137006153,True,2
3hop_compound_rate_0012,replace_prior,3,wrong_unit,False,False,0.4528495337039186,0.1674222588789844,False,1
3hop_compound_rate_0012,branch_and_pick,3,wrong_unit,False,False,0.8623514501681061,0.5967647372076774,True,2
2hop_counting_0009,baseline,2,wrong_percentage_base,False,False,0.9782649969714468,0.4891602995468503,True,0
2hop_counting_0009,reprompt,2,wrong_percentage_base,False,False,0.9782649969714468,0.4891602995468503,True,1
2hop_counting_0009,replace_prior,2,wrong_percentage_base,False,False,0.3295571638743388,0.1648063829982963,False,1
2hop_counting_0009,branch_and_pick,2,wrong_percentage_base,False,False,0.3620079933040895,0.1810317977131717,False,1
2hop_percentage_0025,baseline,2,off_by_one,False,False,0.9963044832993184,0.5311212647255961,True,0
2hop_percentage_0025,reprompt,2,off_by_one,False,False,0.9963044832993184,0.5311212647255961,True,1
2hop_percentage_0025,replace_prior,2,off_by_one,False,False,0.068678786056937,0.0673084161044054,False,1
2hop_percentage_0025,branch_and_pick,2,off_by_one,False,False,0.896213358605383,0.4810757023786284,True,1
4hop_nested_fractions_0000,baseline,4,off_by_one,False,False,0.9999999467296556,0.928239990780382,True,0
4hop_nested_fractions_0000,reprompt,4,off_by_one,False,False,0.9999999467296556,0.928239990780382,True,3
4hop_nested_fractions_0000,replace_prior,4,off_by_one,False,False,0.9999997414528564,0.8698830055922847,True,2
4hop_nested_fractions_0000,branch_and_pick,4,off_by_one,False,False,0.7432501328010604,0.6872274321784535,False,3
3hop_compound_rate_0030,baseline,3,off_by_one,False,False,0.9999998333154564,0.790280683606379,True,0
3hop_compound_rate_0030,reprompt,3,off_by_one,False,False,0.9999998333154564,0.790280683606379,True,2
3hop_compound_rate_0030,replace_prior,3,off_by_one,False,False,0.6581390060216826,0.3430714014317337,False,1
3hop_compound_rate_0030,branch_and_pick,3,off_by_one,False,False,0.6667078002010707,0.4330905969930553,False,2
2hop_fractions_0027,baseline,2,wrong_unit,False,False,0.99964414532945,0.5237894724273594,True,0
2hop_fractions_0027,reprompt,2,wrong_unit,False,False,0.99964414532945,0.5237894724273594,True,1
2hop_fractions_0027,replace_prior,2,wrong_unit,False,False,0.7995493258635772,0.423742062694423,True,1
2hop_fractions_0027,branch_and_pick,2,wrong_unit,False,False,0.404175942639308,0.2260553710822884,False,1
3hop_percentage_chain_0038,baseline,3,magnitude_error,False,False,0.9999999875640688,0.7299496732902604,True,0
3hop_percentage_chain_0038,reprompt,3,magnitude_error,False,False,0.9999999875640688,0.7299496732902604,True,2
3hop_percentage_chain_0038,replace_prior,3,magnitude_error,False,False,0.9991423879396962,0.4680227685660478,True,2
3hop_percentage_chain_0038,branch_and_pick,3,magnitude_error,False,False,0.7517030073274396,0.4400990547006482,False,2
3hop_multi_stage_geometry_0035,baseline,3,off_by_one,False,False,0.9999875261619704,0.9950096073661328,True,0
3hop_multi_stage_geometry_0035,reprompt,3,off_by_one,False,False,0.9999875261619704,0.9950096073661328,True,3
3hop_multi_stage_geometry_0035,replace_prior,3,off_by_one,False,False,0.998551779944112,0.7304129945267624,True,2
3hop_multi_stage_geometry_0035,branch_and_pick,3,off_by_one,False,False,0.5363578948761752,0.4030643667032331,False,3
3hop_percentage_chain_0019,baseline,3,wrong_percentage_base,False,False,0.999999972627199,0.7552968651170294,True,0
3hop_percentage_chain_0019,reprompt,3,wrong_percentage_base,False,False,0.999999972627199,0.7552968651170294,True,2
3hop_percentage_chain_0019,replace_prior,3,wrong_percentage_base,False,False,0.9995691505438928,0.6669243899373427,True,2
3hop_percentage_chain_0019,branch_and_pick,3,wrong_percentage_base,False,False,0.5671298771172474,0.4179671587320528,False,2
2hop_percentage_0033,baseline,2,magnitude_error,False,False,0.9848426189178036,0.5044939366762526,True,0
2hop_percentage_0033,reprompt,2,magnitude_error,False,False,0.9848426189178036,0.5044939366762526,True,1
2hop_percentage_0033,replace_prior,2,magnitude_error,False,False,0.0398195192740829,0.0319823868543923,False,1
