dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_train,mm,steer_long_term,40,8.0,8.0,51.81414031982422,0.9999999403953552,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0009644530173601451,-0.0009644530173601451,-0.0004905381904973249,0.0,0.6825,0.6842105263157895,400,380,0.6825,0.3175,0.6842105263157895,0.3157894736842105,0.05,0.95,0.33074334409509903,2.026026469428325,0.6875
explicit_train,mm,steer_immediate,40,8.0,-8.0,51.81414031982422,0.9999999403953552,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,-0.0024999999999999467,0.0025000000000000022,-0.002617801047120394,0.0026178010471204494,0.00028781558081386605,0.0,0.32,0.3193717277486911,400,382,0.68,0.32,0.680628272251309,0.3193717277486911,0.045,0.955,0.3315216978664102,2.0324801244738047,0.6875
explicit_test,mm,steer_long_term,8,0.0,0.0,13.62234115600586,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.6421052631578947,100,95,0.64,0.36,0.6421052631578947,0.35789473684210527,0.05,0.95,0.255975638134405,1.639400197081268,0.61
explicit_test,mm,steer_immediate,8,0.0,-0.0,13.62234115600586,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.35789473684210527,100,95,0.64,0.36,0.6421052631578947,0.35789473684210527,0.05,0.95,0.255975638134405,1.639400197081268,0.61
explicit_test,mm,steer_long_term,8,2.0,2.0,13.62234115600586,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,0.0,0.0,-0.00017477270914240117,0.0,0.64,0.6421052631578947,100,95,0.64,0.36,0.6421052631578947,0.35789473684210527,0.05,0.95,0.2558008654252626,1.6374364648200572,0.61
explicit_test,mm,steer_immediate,8,2.0,-2.0,13.62234115600586,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,0.0,0.0,-0.0005240521905943707,0.0,0.36,0.35789473684210527,100,95,0.64,0.36,0.6421052631578947,0.35789473684210527,0.05,0.95,0.2554515859438106,1.6360100605525076,0.61
explicit_test,mm,steer_long_term,8,8.0,8.0,13.62234115600586,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,-0.0038073908174691695,0.003807390817469225,-0.002183377147885024,0.0,0.64,0.6382978723404256,100,94,0.64,0.36,0.6382978723404256,0.3617021276595745,0.06,0.94,0.25379226098651997,1.619280930068344,0.61
explicit_test,mm,steer_immediate,8,8.0,-8.0,13.62234115600586,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,-0.010000000000000009,0.010000000000000009,-0.0038073908174691695,0.003807390817469225,-0.0016671821242197904,0.0,0.37,0.3617021276595745,100,94,0.63,0.37,0.6382978723404256,0.3617021276595745,0.06,0.94,0.2543084560101852,1.627303286427632,0.61
explicit_test,mm,steer_long_term,24,0.0,0.0,30.28476905822754,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.6421052631578947,100,95,0.64,0.36,0.6421052631578947,0.35789473684210527,0.05,0.95,0.255975638134405,1.639400197081268,0.61
explicit_test,mm,steer_immediate,24,0.0,-0.0,30.28476905822754,1.0,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.35789473684210527,100,95,0.64,0.36,0.6421052631578947,0.35789473684210527,0.05,0.95,0.255975638134405,1.639400197081268,0.61
