dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_test,mm,steer_immediate,16,16.0,-16.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.010000000000000009,-0.010000000000000009,0.010101010101010166,-0.010101010101010055,0.0004839974408969161,0.0,0.33,0.32323232323232326,100,99,0.67,0.33,0.6767676767676768,0.32323232323232326,0.01,0.99,0.24594482937362044,0.8418158586136997,0.67
explicit_test,mm,steer_long_term,20,1.0,1.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.0013493423070758404,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.24681017423979937,0.8470532128028572,0.67
explicit_test,mm,steer_immediate,20,1.0,-1.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.0006433071196079443,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.24481752481311558,0.8385346782952547,0.67
explicit_test,mm,steer_long_term,20,2.0,2.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.0027052747458219395,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.24816610667854547,0.8529135888069868,0.67
explicit_test,mm,steer_immediate,20,2.0,-2.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.0020141532551497254,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2434466786775738,0.8329910105839372,0.67
explicit_test,mm,steer_long_term,20,4.0,4.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.005753398244269209,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.25121423017699274,0.8654050718992948,0.67
explicit_test,mm,steer_immediate,20,4.0,-4.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.004125849674455839,0.010000000000000009,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2413349822582677,0.8243505690619349,0.68
explicit_test,mm,steer_long_term,20,8.0,8.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.012648462937213473,0.010000000000000009,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.258109294869937,0.8937177174910903,0.68
explicit_test,mm,steer_immediate,20,8.0,-8.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.010000000000000009,-0.010000000000000009,0.010101010101010166,-0.010101010101010055,-0.007483318219892676,0.0,0.33,0.32323232323232326,100,99,0.67,0.33,0.6767676767676768,0.32323232323232326,0.01,0.99,0.23797751371283085,0.8092742574587465,0.67
explicit_test,mm,steer_long_term,20,16.0,16.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.020000000000000018,-0.020000000000000018,0.02020202020202022,-0.020202020202020166,0.03275403846986594,0.019999999999999907,0.68,0.6868686868686869,100,99,0.68,0.32,0.6868686868686869,0.31313131313131315,0.01,0.99,0.27821487040258946,0.9749141092412174,0.69
